Name,Website
1) Celonis,https://www.celonis.com
2) Ada Health,https://ada.com/
3) uberall,https://uberall.com
4) TIER Mobility,https://www.tier.app
5) Foodpanda,https://www.foodpanda.com
6) Scalable Capital,https://de.scalable.capital/
7) Trade Republic,https://traderepublic.com
8) FlixBus,https://www.flixbus.com
9) wefox,https://www.wefox.com
10) SoundCloud,https://www.soundcloud.com/
11) Mambu,https://www.mambu.com
12) Lilium,https://lilium.com/
13) Flink Food,https://www.goflink.com
14) Razor Group,https://razor-group.com
15) Forto,https://forto.com
16) Sanity Group,https://sanitygroup.com/
17) OroraTech,https://ororatech.com
18) Habyt,https://www.habyt.com
19) OneFootball,https://company.onefootball.com
20) parcelLab,https://parcellab.com/
21) ELEMENT Insurance,https://www.element.in
22) Contentful,https://www.contentful.com
23) Spryker Systems,https://spryker.com
24) ATAI Life Sciences,https://atai.life
25) Adjust,https://www.adjust.com/
26) CoachHub,http://coachhub.com
27) Vivid Money,https://vivid.money/en-eu/
28) DHL,https://www.dhl.com
29) Infarm,https://infarm.com
30) Solarisbank,https://www.solarisbank.com/
31) GetYourGuide,https://www.getyourguide.com/
32) TWAICE,https://twaice.com/
33) Isar Aerospace,https://www.isaraerospace.com
34) HomeToGo,https://www.hometogo.com/
35) Personio,https://www.personio.com
36) Volocopter,https://volocopter.com
37) Holidu,https://www.holidu.com/
38) Avi Medical,https://avimedical.com
39) Grover,https://www.grover.com
40) Cognigy GmbH,https://www.cognigy.com
41) commercetools,https://www.commercetools.com
42) Lumenaza,https://www.lumenaza.de/
43) Enpal,https://www.enpal.de
44) Zeotap,https://www.zeotap.com
45) airfocus,https://airfocus.com
46) Morressier,https://www.morressier.com
47) SimScale,https://www.simscale.com/
48) Choco,https://www.choco.com/
49) AUTO1 Group,https://www.auto1-group.com
50) Finoa,https://finoa.io/
51) sevDesk,https://sevdesk.de
52) Signavio,https://www.signavio.com
53) Babbel,https://www.babbel.com
54) Silexica,https://www.silexica.com
55) Raisin,https://www.raisin.com/
56) IDnow,https://www.idnow.io
57) Pricefx,https://www.pricefx.com/
58) BRYTER,https://www.bryter.io/
59) Arabesque S-Ray,https://www.arabesque.com/s-ray/
60) Camunda,https://www.camunda.com
61) tadoÂ°,https://www.tado.com
62) Clark,https://www.clark.de
63) sennder,https://www.sennder.com
64) SellerX,https://www.sellerx.com/
65) Blinkist,https://blinkist.com
66) Omio,https://www.omio.com/
67) EqualTo,https://www.equalto.com/
68) BITA,https://www.bitadata.com
69) Dance,https://www.dance.co/
70) Transporeon,https://www.transporeon.com
71) Taxfix,https://www.taxfix.de
72) Nuri,https://nuri.com/
73) Upvest,https://upvest.co
74) Staffbase,https://staffbase.com/en/
75) AMBOSS,https://www.amboss.com/us
76) Tourlane,https://www.tourlane.com
77) Wunder Mobility,https://www.wundermobility.com/
78) Centrifuge,https://www.centrifuge.io/
79) Lingoda,https://www.lingoda.com/en/
80) StudySmarter,https://www.studysmarter.de
81) OptioPay,https://optiopay.com/
82) Stocard,https://stocardapp.com
83) scoutbee,https://scoutbee.com
84) cargo.one,https://www.cargo.one
85) Deposit Solutions,https://www.deposit-solutions.com/
86) PlusDental,https://plusdental.de/
87) KONUX,https://konux.com
88) Cosuno,https://www.cosuno.de/
89) CrossLend,https://www.crosslend.com/
90) Kontist,https://kontist.com/
91) CHRONEXT,https://www.chronext.com
92) finn.auto,https://www.finn.auto/
93) Moonfare,https://www.moonfare.com
94) Gorillas,https://gorillas.io
95) Huuuge Games,https://www.huuugegames.com
96) Seven Senders,https://www.sevensenders.com/
97) Lykon,https://www.lykon.de/
98) ResearchGate,https://www.researchgate.net
99) Cleanhub,https://www.cleanhub.io/
100) n8n.io,https://n8n.io/
